timestamp,rollspeed_integ,pitchspeed_integ,yawspeed_integ,baro_pressure_pa,baro_alt_meter,xyz[0],xyz[1],xyz[2],q[0],q[1],q[2],q[3],roll_body,pitch_body,yaw_body,thrust_body[2],lat,lon,alt,eph,epv,hdop,vdop,noise_per_ms,jamming_indicator,vel_m_s,cog_rad,x,y,z,vx,vy,vz,z_deriv,ax,ay,az,heading,evh,magnetometer_ga[0],magnetometer_ga[1],magnetometer_ga[2],class
615291088,0.0,0.0,0.0,100548.125,64.88083499999999,-0.0050344615855000005,-0.0008024313299999999,0.0033678993050000024,-0.3395726875,-0.0104567665,-0.0015123019750000002,0.9405204875000001,0.0,0.0,-2.4490600333333337,-0.001,362048146.0,1382529219.5,40985.0,1.7530001,3.07350015,0.77,1.35,103.0,24.0,0.045000001,1.1893106,-0.2806493033333333,0.18529496666666667,-2.8962075666666665,0.005915490233333333,-0.0032885773666666666,-0.013573377666666666,-0.013822855666666667,-0.21182670536666667,-0.025744787666666658,0.23076529333333332,-2.4488448,0.14864781,-0.15820016999999997,0.155620095,0.96884769,0
615491088,0.0,0.0,0.0,100549.0,64.808174,-0.00266842633,-0.004788052046,-0.006675468899999999,-0.3393180375,-0.010009768249999999,-0.001618923375,0.9406170425,0.0,0.0,-2.44878975,-0.001,362048146.0,1382529219.5,40985.0,1.7530001,3.07350015,0.77,1.35,103.0,24.0,0.045000001,1.1893106,-0.28646851500000003,0.189850325,-2.9098799,0.0051016816,-0.0003419355999999999,-0.0176002855,-0.0265999835,0.13344157499999998,0.288267724,0.23243280300000002,-2.44859675,0.14985963000000002,-0.15375958,0.15416884,0.988061,0
615691088,0.0,0.0,0.0,100548.0,64.89008,0.0018589899223999998,0.0059436406353,0.0014490236099999998,-0.3392966875,-0.009839063375,-0.001703127775,0.94062644,0.0,0.0,-2.4490133,-0.001,362048146.0,1382529219.5,40985.0,1.7530001,3.07350015,0.77,1.35,103.0,24.0,0.045000001,1.1893106,-0.294164135,0.19353949,-2.9193476499999997,0.00517964855,0.00025213199999999996,-0.022470777,-0.0339718255,0.37718916,-0.20638465,0.43878603,-2.4490133,0.14878752,-0.16264075,0.1512663,0.98165655,0
615891088,0.0,0.0,0.0,100549.25,64.78703,-7.184993239999996e-05,-0.0019803125600000005,0.00025321364000000017,-0.33920612250000004,-0.009669643124999999,-0.0017512966749999997,0.9406607675,0.0,0.0,-2.44930875,-0.001,362048149.0,1382529222.0,41074.0,1.751,3.0700002,0.77,1.35,103.0,27.0,0.017,1.1893106,-0.30040757500000004,0.20010139999999998,-2.925483,-0.0007459835200000001,0.0017133332999999997,-0.027259631,-0.037327177,-0.582374665,0.30192359999999996,-1.1275919,-2.4493442500000002,0.14808772,-0.15968037,0.1512663,0.988061,0
616091088,0.0,0.0,0.0,100546.75,64.99577,0.00446189185,-0.006675441666999999,-0.000571768228,-0.339109675,-0.00978773325,-0.001721464,0.9406943750000001,-4.4213615e-05,-0.00016687566,-2.44926535,-0.001,362048149.0,1382529222.0,41074.0,1.751,3.0700002,0.77,1.35,103.0,27.0,0.017,1.1893106,-0.30232314,0.203303915,-2.93102165,0.00528777345,0.00016817069999999995,-0.024641317500000003,-0.032705582999999996,0.2545089,-0.4451086925,0.292065595,-2.44967585,0.147710075,-0.15375958,0.1512663,0.97845435,0
616291088,0.0,0.0,0.0,100550.5,64.681335,-0.018332631940000003,-0.0272593203,-0.00475729264,-0.33899811750000003,-0.009115709,-0.001817444775,0.9407410075,0.0026351000500000003,-0.0014750031,-2.4490411,-0.0260033765,362048149.0,1382529222.0,41074.0,1.751,3.0700002,0.77,1.35,103.0,27.0,0.017,1.1893106,-0.30264621,0.206813505,-2.9361606,-0.00016667064999999995,0.0043664975,-0.026896924000000003,-0.0328410315,-0.5219612,0.687716115,-1.2252158850000001,-2.4499106,0.148953105,-0.15375958,0.15416884,0.96244323,0
616491088,0.0,0.0,0.0,100546.8,64.99313,-0.005324446710000001,0.0008184908999999978,-0.002636839304,-0.33869162,-0.007971858425,-0.0022248989750000003,0.9408609625,0.00462535235,-0.0024945540849999996,-2.4490411,-0.0596645175,362048149.0,1382529222.0,41074.0,1.751,3.0700002,0.77,1.35,103.0,27.0,0.017,1.1893106,-0.30394931999999997,0.208082185,-2.93903625,0.0030212804500000003,0.00684887545,-0.0279729575,-0.0299355815,0.017065150000000084,1.2766501,-0.6081962000000001,-2.45054745,0.14805942,-0.1507992,0.1483638,0.9688477,0
616691088,0.0,0.0,0.0,100548.0,64.89008,-0.010274829074,-0.01104827928,-0.00688677576,-0.33816180250000005,-0.0062573409,-0.002655695925,0.9410633225,0.00355290725,-0.0014403259499999998,-2.4490411,-0.09928083,362048149.0,1382529222.0,41074.0,1.751,3.0700002,0.77,1.35,103.0,27.0,0.017,1.1893106,-0.30429576,0.20623974,-2.9389222999999998,0.003590759,0.0032899260000000003,-0.03680823,-0.032603125000000004,0.12948965,2.3738098,-0.9084340000000001,-2.451687,0.14811817500000002,-0.15671997,0.1483638,0.9720499,0
616891088,0.0,0.0,0.0,100549.5,64.76589,-0.014737701197800001,-0.015087716640000002,-0.01155020877,-0.3375222475,-0.004166755875000001,-0.0037013722,0.9413006625,0.0037583025,0.00039328375000000006,-2.4490411,-0.150192405,362048153.0,1382529221.0,41124.0,1.7490001,3.065,0.77,1.35,103.0,22.0,0.048,1.1893106,-0.3042019,0.20332799000000001,-2.9369164000000003,0.0028286318,0.00305301065,-0.0253596815,-0.014744180499999999,1.2100692499999999,1.151057265,0.473177102,-2.4532106000000002,0.152053045,-0.14783882,0.14546129,0.9720499,0
617091088,0.0025731325,-7.205017e-05,0.00015980036,100548.25,64.87159,-0.0470397797,-0.0784082607,0.03522049637,-0.3379236325,0.00091945245,-0.0057660318,0.9411508975,0.007310942,0.00297705875,-2.4490411,-0.201991295,362048153.0,1382529221.0,41124.0,1.7490001,3.065,0.77,1.35,103.0,22.0,0.048,1.1893106,-0.305627585,0.20432205,-2.93146145,-0.014677151815000001,0.0055858145,-0.045003333,-0.026112905999999998,-1.630296185,1.8707409449999999,-1.35781455,-2.4517088,0.152313545,-0.14487843,0.13965626,0.98165655,0
