Timestamp,Battery,Flying State,Sensors
1724788184.889402,100,unknown,"{'GpsLocationChanged_latitude': -22.004840333333597, 'GpsLocationChanged_longitude': -47.932644499999526, 'GpsLocationChanged_altitude': 858.2999877929688, 'GpsLocationChanged_latitude_accuracy': 0, 'GpsLocationChanged_longitude_accuracy': 0, 'GpsLocationChanged_altitude_accuracy': 0, 'PositionChanged_latitude': -22.004840333333597, 'PositionChanged_longitude': -47.932644499999526, 'PositionChanged_altitude': 858.2999877929688, 'SpeedChanged_speedX': 0.0, 'SpeedChanged_speedY': 0.0, 'SpeedChanged_speedZ': 0.0, 'AltitudeChanged_altitude': 0.0, 'AttitudeChanged_roll': 0.0011175292311236262, 'AttitudeChanged_pitch': -0.0038190078921616077, 'AttitudeChanged_yaw': -0.3194766044616699, 'Orientation_tilt': -13, 'Orientation_pan': 0, 'WifiSignalChanged_rssi': -41, 'BatteryStateChanged_percent': 81}"
1724788184.9922338,100,unknown,"{'GpsLocationChanged_latitude': -22.004840333333597, 'GpsLocationChanged_longitude': -47.932644499999526, 'GpsLocationChanged_altitude': 858.2999877929688, 'GpsLocationChanged_latitude_accuracy': 0, 'GpsLocationChanged_longitude_accuracy': 0, 'GpsLocationChanged_altitude_accuracy': 0, 'PositionChanged_latitude': -22.004840333333597, 'PositionChanged_longitude': -47.932644499999526, 'PositionChanged_altitude': 858.2999877929688, 'SpeedChanged_speedX': 0.0, 'SpeedChanged_speedY': 0.0, 'SpeedChanged_speedZ': 0.0, 'AltitudeChanged_altitude': 0.0, 'AttitudeChanged_roll': 0.0011175292311236262, 'AttitudeChanged_pitch': -0.0038190078921616077, 'AttitudeChanged_yaw': -0.3194766044616699, 'Orientation_tilt': -13, 'Orientation_pan': 0, 'WifiSignalChanged_rssi': -41, 'BatteryStateChanged_percent': 81}"
1724788185.1515458,100,unknown,"{'GpsLocationChanged_latitude': -22.004840333333597, 'GpsLocationChanged_longitude': -47.932644499999526, 'GpsLocationChanged_altitude': 858.2999877929688, 'GpsLocationChanged_latitude_accuracy': 0, 'GpsLocationChanged_longitude_accuracy': 0, 'GpsLocationChanged_altitude_accuracy': 0, 'PositionChanged_latitude': -22.004840333333597, 'PositionChanged_longitude': -47.932644499999526, 'PositionChanged_altitude': 858.2999877929688, 'SpeedChanged_speedX': 0.0, 'SpeedChanged_speedY': 0.0, 'SpeedChanged_speedZ': 0.0, 'AltitudeChanged_altitude': 0.0, 'AttitudeChanged_roll': 0.0013140060473233461, 'AttitudeChanged_pitch': -0.003846670500934124, 'AttitudeChanged_yaw': -0.31958162784576416, 'Orientation_tilt': -13, 'Orientation_pan': 0, 'WifiSignalChanged_rssi': -41, 'BatteryStateChanged_percent': 81}"
1724788185.261006,100,unknown,"{'GpsLocationChanged_latitude': -22.00484000000106, 'GpsLocationChanged_longitude': -47.93264483333293, 'GpsLocationChanged_altitude': 858.2999877929688, 'GpsLocationChanged_latitude_accuracy': 0, 'GpsLocationChanged_longitude_accuracy': 0, 'GpsLocationChanged_altitude_accuracy': 0, 'PositionChanged_latitude': -22.004840333333597, 'PositionChanged_longitude': -47.932644499999526, 'PositionChanged_altitude': 858.2999877929688, 'SpeedChanged_speedX': 0.0, 'SpeedChanged_speedY': 0.0, 'SpeedChanged_speedZ': 0.0, 'AltitudeChanged_altitude': 0.0, 'AttitudeChanged_roll': 0.0013250102056190372, 'AttitudeChanged_pitch': -0.003894232679158449, 'AttitudeChanged_yaw': -0.31964752078056335, 'Orientation_tilt': -13, 'Orientation_pan': 0, 'WifiSignalChanged_rssi': -41, 'BatteryStateChanged_percent': 81}"
1724788185.3653693,100,unknown,"{'GpsLocationChanged_latitude': -22.00484000000106, 'GpsLocationChanged_longitude': -47.93264483333293, 'GpsLocationChanged_altitude': 858.2999877929688, 'GpsLocationChanged_latitude_accuracy': 0, 'GpsLocationChanged_longitude_accuracy': 0, 'GpsLocationChanged_altitude_accuracy': 0, 'PositionChanged_latitude': -22.004840333333597, 'PositionChanged_longitude': -47.932644499999526, 'PositionChanged_altitude': 858.2999877929688, 'SpeedChanged_speedX': 0.0, 'SpeedChanged_speedY': 0.0, 'SpeedChanged_speedZ': 0.0, 'AltitudeChanged_altitude': 0.0, 'AttitudeChanged_roll': 0.0013250102056190372, 'AttitudeChanged_pitch': -0.003894232679158449, 'AttitudeChanged_yaw': -0.31964752078056335, 'Orientation_tilt': -13, 'Orientation_pan': 0, 'WifiSignalChanged_rssi': -41, 'BatteryStateChanged_percent': 81}"
1724788185.4676847,100,unknown,"{'GpsLocationChanged_latitude': -22.00484000000106, 'GpsLocationChanged_longitude': -47.93264483333293, 'GpsLocationChanged_altitude': 858.2999877929688, 'GpsLocationChanged_latitude_accuracy': 0, 'GpsLocationChanged_longitude_accuracy': 0, 'GpsLocationChanged_altitude_accuracy': 0, 'PositionChanged_latitude': -22.004840333333597, 'PositionChanged_longitude': -47.932644499999526, 'PositionChanged_altitude': 858.2999877929688, 'SpeedChanged_speedX': 0.0, 'SpeedChanged_speedY': 0.0, 'SpeedChanged_speedZ': 0.0, 'AltitudeChanged_altitude': 0.0, 'AttitudeChanged_roll': 0.0012544887140393257, 'AttitudeChanged_pitch': -0.0038120534736663103, 'AttitudeChanged_yaw': -0.3197098970413208, 'Orientation_tilt': -13, 'Orientation_pan': 0, 'WifiSignalChanged_rssi': -41, 'BatteryStateChanged_percent': 81}"
1724788185.584707,100,unknown,"{'GpsLocationChanged_latitude': -22.00484000000106, 'GpsLocationChanged_longitude': -47.93264483333293, 'GpsLocationChanged_altitude': 858.2999877929688, 'GpsLocationChanged_latitude_accuracy': 0, 'GpsLocationChanged_longitude_accuracy': 0, 'GpsLocationChanged_altitude_accuracy': 0, 'PositionChanged_latitude': -22.004840333333597, 'PositionChanged_longitude': -47.932644499999526, 'PositionChanged_altitude': 858.2999877929688, 'SpeedChanged_speedX': 0.0, 'SpeedChanged_speedY': 0.0, 'SpeedChanged_speedZ': 0.0, 'AltitudeChanged_altitude': 0.0, 'AttitudeChanged_roll': 0.0012544887140393257, 'AttitudeChanged_pitch': -0.0038120534736663103, 'AttitudeChanged_yaw': -0.3197098970413208, 'Orientation_tilt': -13, 'Orientation_pan': 0, 'WifiSignalChanged_rssi': -41, 'BatteryStateChanged_percent': 81}"
1724788185.731214,100,unknown,"{'GpsLocationChanged_latitude': -22.00484000000106, 'GpsLocationChanged_longitude': -47.93264483333293, 'GpsLocationChanged_altitude': 858.2999877929688, 'GpsLocationChanged_latitude_accuracy': 0, 'GpsLocationChanged_longitude_accuracy': 0, 'GpsLocationChanged_altitude_accuracy': 0, 'PositionChanged_latitude': -22.004840333333597, 'PositionChanged_longitude': -47.932644499999526, 'PositionChanged_altitude': 858.2999877929688, 'SpeedChanged_speedX': 0.0, 'SpeedChanged_speedY': 0.0, 'SpeedChanged_speedZ': 0.0, 'AltitudeChanged_altitude': 0.0, 'AttitudeChanged_roll': 0.001351440791040659, 'AttitudeChanged_pitch': -0.003862390760332346, 'AttitudeChanged_yaw': -0.31980690360069275, 'Orientation_tilt': -13, 'Orientation_pan': 0, 'WifiSignalChanged_rssi': -41, 'BatteryStateChanged_percent': 81}"
1724788185.8455997,100,unknown,"{'GpsLocationChanged_latitude': -22.004839833334337, 'GpsLocationChanged_longitude': -47.93264516666633, 'GpsLocationChanged_altitude': 858.4000244140625, 'GpsLocationChanged_latitude_accuracy': 0, 'GpsLocationChanged_longitude_accuracy': 0, 'GpsLocationChanged_altitude_accuracy': 0, 'PositionChanged_latitude': -22.004839833334337, 'PositionChanged_longitude': -47.93264516666633, 'PositionChanged_altitude': 858.4000244140625, 'SpeedChanged_speedX': 0.0, 'SpeedChanged_speedY': 0.0, 'SpeedChanged_speedZ': 0.0, 'AltitudeChanged_altitude': 0.0, 'AttitudeChanged_roll': 0.001351440791040659, 'AttitudeChanged_pitch': -0.003862390760332346, 'AttitudeChanged_yaw': -0.31980690360069275, 'Orientation_tilt': -13, 'Orientation_pan': 0, 'WifiSignalChanged_rssi': -41, 'BatteryStateChanged_percent': 81}"
1724788185.9691203,100,unknown,"{'GpsLocationChanged_latitude': -22.004839833334337, 'GpsLocationChanged_longitude': -47.93264516666633, 'GpsLocationChanged_altitude': 858.4000244140625, 'GpsLocationChanged_latitude_accuracy': 0, 'GpsLocationChanged_longitude_accuracy': 0, 'GpsLocationChanged_altitude_accuracy': 0, 'PositionChanged_latitude': -22.004839833334337, 'PositionChanged_longitude': -47.93264516666633, 'PositionChanged_altitude': 858.4000244140625, 'SpeedChanged_speedX': 0.0, 'SpeedChanged_speedY': 0.0, 'SpeedChanged_speedZ': 0.0, 'AltitudeChanged_altitude': 0.0, 'AttitudeChanged_roll': 0.0015235519967973232, 'AttitudeChanged_pitch': -0.003552702721208334, 'AttitudeChanged_yaw': -0.3199128806591034, 'Orientation_tilt': -13, 'Orientation_pan': 0, 'WifiSignalChanged_rssi': -41, 'BatteryStateChanged_percent': 81}"
