 Is_CH, who CH, Dist_To_CH, ADV_S, ADV_R, JOIN_S, JOIN_R, SCH_S, SCH_R,Rank, DATA_S, DATA_R, Data_Sent_To_BS, dist_CH_To_BS, send_code ,Expaned Energy,class
0.0,0.0015285813819635834,0.12636372893812622,0.0,0.05128205128205129,1.0,0.0,0.0,1.0,0.09090909090909091,0.24896265560165975,0.0,0.0,0.0,0.2,0.002297647976646086,0
0.0,0.004554239495925597,0.044386404698792604,0.0,0.06837606837606838,1.0,0.0,0.0,1.0,0.010101010101010102,0.35269709543568467,0.0,0.0,0.0,0.26666666666666666,0.0031753712361350553,0
0.0,0.0012126260943321927,0.6696464564958742,0.0,0.017094017094017096,1.0,0.0,0.0,1.0,0.14141414141414144,0.11203319502074689,0.0,0.0,0.0,0.06666666666666667,0.0058799475051414885,0
0.0,0.00030898791311986806,0.036030958776172364,0.0,0.042735042735042736,1.0,0.0,0.0,1.0,0.11111111111111112,0.3153526970954357,0.0,0.0,0.0,0.26666666666666666,0.00283097906281864,0
0.0,0.004851716094635122,0.16638480096242847,0.0,0.017094017094017096,1.0,0.0,0.0,1.0,0.393939393939394,0.08298755186721991,0.0,0.0,0.0,0.13333333333333333,0.0008517774228643583,0
0.0,0.030613431886340917,0.1430113375069805,0.0,0.23076923076923078,1.0,0.0,0.0,0.0,0.010101010101010102,0.0,0.0,0.0,0.0,0.4666666666666667,0.00013438612815824032,0
0.0,0.004876253370088759,0.04140677043319456,0.0,0.03418803418803419,1.0,0.0,0.0,1.0,0.08080808080808081,0.35269709543568467,0.0,0.0,0.0,0.2,0.0031585175302934272,0
0.0,0.0009148465662960799,0.17665279257058067,0.0,0.042735042735042736,1.0,0.0,0.0,1.0,0.030303030303030304,0.2572614107883817,0.0,0.0,0.0,0.06666666666666667,0.0024209461404348345,0
0.0,5.149798551994794e-06,0.14877482923549226,0.0,0.05982905982905984,1.0,0.0,0.0,1.0,0.17171717171717174,0.2697095435684647,0.0,0.0,0.0,0.4666666666666667,0.0023734896529334095,0
0.0,0.0006358486565084358,0.0936442682759162,0.0,0.05128205128205129,1.0,0.0,0.0,1.0,0.30303030303030304,0.12448132780082988,0.0,0.0,0.0,0.4,0.0011926214475825355,0
0.0,0.001536760473781467,0.17054716979547088,0.0,0.025641025641025644,1.0,0.0,0.0,1.0,0.4747474747474748,0.11203319502074689,0.0,0.0,0.0,0.2,0.0010997043061661944,0
0.0,0.003358880373208927,0.17767157864986527,0.0,0.03418803418803419,1.0,0.0,0.0,1.0,0.010101010101010102,0.14937759336099585,0.0,0.0,0.0,0.13333333333333333,0.0014633895374855245,0
0.0,0.003648783738753745,0.05146232437607403,0.0,0.042735042735042736,1.0,0.0,0.0,1.0,0.37373737373737376,0.13278008298755187,0.0,0.0,0.0,0.13333333333333333,0.0012518311773156215,0
0.0,0.005180091484656629,0.0,0.0,0.03418803418803419,0.0,0.0,0.0,0.0,0.13131313131313133,0.05394190871369295,0.8362299465240641,0.05394190871369295,0.725246359050098,0.0,0.04309049065129372,0
0.0,0.004271303504892309,0.21386163232957778,0.0,0.06837606837606838,1.0,0.0,0.0,1.0,0.05050505050505051,0.35269709543568467,0.0,0.0,0.0,0.26666666666666666,0.003308870327143736,0
0.0,0.0309042440398655,0.05350236999603592,0.0,0.23076923076923078,1.0,0.0,0.0,1.0,0.04040404040404041,0.6639004149377593,0.0,0.0,0.0,0.06666666666666667,0.011190638919553271,0
0.0,0.0021338341764866216,0.018513858524168657,0.0,0.025641025641025644,1.0,0.0,0.0,1.0,0.06060606060606061,0.33195020746887965,0.0,0.0,0.0,0.2,0.002972461488173355,0
0.0,0.0021486777134894393,0.23055516327598663,0.0,0.008547008547008548,1.0,0.0,0.0,1.0,0.020202020202020204,0.05394190871369295,0.0,0.0,0.0,0.06666666666666667,0.0006355621176592686,0
0.0,0.002425858047317559,0.21793803671195403,0.0,0.017094017094017096,1.0,0.0,0.0,1.0,0.16161616161616163,0.2033195020746888,0.0,0.0,0.0,0.13333333333333333,0.0019505946918809932,0
0.0,0.005155251279876403,0.07117375823604308,0.0,0.025641025641025644,1.0,0.0,0.0,1.0,0.696969696969697,0.06224066390041494,0.0,0.0,0.0,0.13333333333333333,0.0006788051787002865,0
0.0,0.0021392869043652084,0.07599262105796757,0.0,0.03418803418803419,1.0,0.0,0.0,1.0,0.020202020202020204,0.4979253112033195,0.0,0.0,0.0,0.2,0.004446495471453592,0
0.0,0.0033546393626366945,0.19296069688514672,0.0,0.025641025641025644,1.0,0.0,0.0,1.0,0.09090909090909091,0.35269709543568467,0.0,0.0,0.0,0.13333333333333333,0.0032738323597361423,0
0.0,0.0018472630335342778,0.05890212289257589,0.0,0.05982905982905984,1.0,0.0,0.0,1.0,0.010101010101010102,0.35269709543568467,0.0,0.0,0.0,0.4666666666666667,0.003172931883973767,0
0.0,3.029293265850719e-07,0.3698872969649881,0.0,0.23076923076923078,1.0,0.0,0.0,1.0,0.4747474747474748,0.07883817427385892,0.0,0.0,0.0,0.3333333333333333,0.0008191788076180525,0
0.0,0.002424646330011205,0.22789189872323654,0.0,0.042735042735042736,1.0,0.0,0.0,1.0,0.06060606060606061,0.37344398340248963,0.0,0.0,0.0,0.26666666666666666,0.0035162152608532323,0
0.0,0.0006294871406500833,0.2227509258912698,0.0,0.03418803418803419,1.0,0.0,0.0,1.0,0.16161616161616163,0.11618257261410789,0.0,0.0,0.0,0.13333333333333333,0.0011779853346148062,0
0.0,0.0012329223592135972,0.19138155512771413,0.0,0.025641025641025644,1.0,0.0,0.0,1.0,0.21212121212121213,0.11203319502074689,0.0,0.0,0.0,0.2,0.0011280894949520933,0
0.0,0.0009112114143770243,0.1867629493404305,0.0,0.042735042735042736,1.0,0.0,0.0,1.0,0.05050505050505051,0.21991701244813278,0.0,0.0,0.0,0.3333333333333333,0.002090746561511369,0
0.0,0.003665444851716094,0.26771775397384906,0.0,0.008547008547008548,1.0,0.0,0.0,1.0,0.48484848484848486,0.06224066390041494,0.0,0.0,0.0,0.06666666666666667,0.009302358587428821,0
0.0,0.003665444851716094,0.030346944495806362,0.0,0.017094017094017096,1.0,0.0,0.0,0.0,0.020202020202020204,0.0,0.0,0.0,0.0,0.2,0.0028221086913230472,0
0.0,0.0024249492593377935,0.09184148827331953,0.0,0.05982905982905984,1.0,0.0,0.0,1.0,0.05050505050505051,0.12448132780082988,0.0,0.0,0.0,0.26666666666666666,0.0012420737686704686,0
1.0,0.0024400957256671997,0.0,0.010309278350515464,0.05982905982905984,0.0,0.04838709677419355,1.0,0.0,0.0,0.0,0.5207219251336898,0.5435684647302904,0.8029179100952019,0.0,0.06215513658819788,0
0.0,9.087879797621545e-07,0.31371442870835564,0.0,0.03418803418803419,1.0,0.0,0.0,1.0,0.29292929292929293,0.13692946058091288,0.0,0.0,0.0,0.2,0.0013392043365472166,0
0.0,0.00275544515464542,0.2257344803598298,0.0,0.03418803418803419,1.0,0.0,0.0,1.0,0.010101010101010102,0.0912863070539419,0.0,0.0,0.0,0.26666666666666666,0.000967979289456632,0
0.0,0.002132319529853686,0.4692549682272217,0.0,0.15384615384615385,1.0,0.0,0.0,0.0,0.17171717171717174,0.0,0.0,0.0,0.0,0.13333333333333333,0.03326145375631404,0
0.0,0.002442519160279908,0.219262085262361,0.0,0.042735042735042736,1.0,0.0,0.0,1.0,0.07070707070707072,0.08713692946058091,0.0,0.0,0.0,0.06666666666666667,0.0009500167871780554,0
0.0,2.9687074005631947e-05,0.3202415199709606,0.0,0.017094017094017096,1.0,0.0,0.0,1.0,0.5555555555555556,0.058091286307053944,0.0,0.0,0.0,0.06666666666666667,0.0005654861828440805,0
0.0,0.0045454545454545435,0.13919287314568565,0.0,0.05128205128205129,1.0,0.0,0.0,1.0,0.010101010101010102,0.35269709543568467,0.0,0.0,0.0,0.13333333333333333,0.0032352462437303105,0
0.0,0.0003092908424464566,0.14590421394750344,0.0,0.05982905982905984,1.0,0.0,0.0,1.0,0.010101010101010102,0.35269709543568467,0.0,0.0,0.0,0.2,0.00323591152159248,0
0.0,0.001818484747508408,0.14274588376355538,0.0,0.05128205128205129,1.0,0.0,0.0,1.0,0.010101010101010102,0.19917012448132781,0.0,0.0,0.0,0.26666666666666666,0.0018838451463766526,0
